date,open,high,low,close,volume
2011/08/27,701,701,701,701,1
2011/08/30,691,691,680,680,29
2011/08/31,670,670,650,650,25
2011/09/02,667,670,667,670,3
2011/09/07,541,566,541,566,2
2011/09/09,386,386,386,386,51
2011/09/21,478,478,478,478,15
2011/09/22,429,440,429,429,1162
2011/10/13,311,311,311,311,0
2011/10/17,271,271,271,271,6
2011/10/18,211,211,211,211,0
2011/11/10,236,236,236,236,42
2011/11/18,178,178,178,178,0
2011/11/21,174,176,174,176,17
2011/12/02,246,246,246,246,49
2011/12/05,228,228,228,228,44
2011/12/19,255,255,255,255,78
2011/12/22,303,314,301,303,17
2012/01/05,491,492,491,492,49
2012/01/09,544,544,544,544,0
2012/01/10,499,499,499,499,0
2012/01/11,500,500,500,500,9
2012/01/12,544,544,544,544,24
2012/01/17,527,533,527,533,23
2012/01/18,464,464,443,454,410
2012/01/19,458,465,458,463,23
2012/01/20,504,511,504,511,40
2012/01/21,503,514,503,514,10
2012/02/03,474,474,474,474,84
2012/02/10,470,470,470,470,246
2012/02/13,426,426,423,423,28
2012/02/16,337,337,326,326,56
2012/02/18,345,345,345,345,10
2012/02/20,354,354,353,353,422
2012/02/22,358,365,355,355,229
2012/02/23,401,402,374,376,179
2012/02/24,397,401,397,401,92
2012/02/28,410,410,400,400,11
2012/02/29,402,403,402,403,40
2012/03/01,408,408,408,408,2
2012/03/04,383,383,375,379,316
2012/03/05,392,412,392,401,11
2012/03/06,412,412,412,412,0
2012/03/07,413,415,411,415,320
2012/03/08,411,411,411,411,0
2012/03/11,405,410,405,410,15
2012/03/13,410,415,410,415,6
2012/03/14,428,453,428,453,17
2012/03/15,458,458,458,458,55
2012/03/16,457,457,435,435,13
2012/03/19,449,449,390,390,46
2012/03/20,418,418,409,409,24
2012/03/21,397,415,397,415,2
2012/03/22,417,417,397,399,173
2012/03/23,399,404,395,404,124
2012/03/24,397,398,397,398,7
2012/03/25,381,381,376,376,12
2012/03/26,370,385,370,381,1
2012/03/27,393,397,393,397,110
2012/03/28,393,393,393,393,0
2012/03/29,408,408,408,408,58
2012/03/30,400,400,400,400,200
2012/03/31,399,399,399,399,0
2012/04/01,400,400,400,400,186
2012/04/02,406,407,406,407,6
2012/04/03,418,419,418,419,50
2012/04/06,414,416,398,416,798
2012/04/09,398,398,398,398,25
2012/04/12,406,406,398,398,41
2012/04/13,409,410,398,398,530
2012/04/16,394,394,394,394,0
2012/04/19,419,419,419,419,6
2012/04/20,424,429,424,429,6
2012/04/21,446,448,446,448,98
2012/04/23,432,434,432,434,453
2012/04/26,427,427,425,425,174
2012/04/27,423,424,423,424,5
2012/05/07,417,417,417,417,0
2012/05/08,399,409,397,409,200
2012/05/09,401,401,401,401,0
2012/05/10,403,403,403,403,0
2012/05/11,395,398,395,397,0
2012/05/14,394,404,394,404,36
2012/05/15,410,410,408,408,48
2012/05/16,402,402,402,402,0
2012/05/17,413,416,413,416,94
2012/05/20,400,414,400,414,0
2012/05/21,408,408,408,408,0
2012/05/22,414,414,413,414,1076
2012/05/23,419,420,419,420,46
2012/05/25,414,419,414,415,141
2012/05/27,417,419,417,419,24
2012/05/28,415,420,415,420,48
2012/05/29,414,415,410,415,11
2012/05/30,415,420,410,410,1343
2012/05/31,414,417,409,409,131
2012/06/01,416,418,416,418,341
2012/06/02,410,411,410,411,1
2012/06/04,415,417,415,417,28
2012/06/05,425,435,425,435,49
2012/06/07,439,439,439,439,75
2012/06/12,453,453,453,453,125
2012/06/13,469,479,469,479,1086
2012/06/15,480,499,480,482,2
2012/06/16,521,531,511,522,1111
2012/06/18,505,511,505,511,212
2012/06/22,540,550,540,550,547
2012/06/23,538,540,538,540,10
2012/06/25,508,508,506,506,31
2012/06/26,521,527,500,515,1284
2012/06/27,522,522,522,522,42
2012/06/28,540,543,540,543,142
2012/06/29,533,537,514,537,16
2012/07/02,535,535,535,535,5
2012/07/03,539,545,531,531,31
2012/07/04,530,531,530,531,115
2012/07/05,511,531,511,531,6
2012/07/07,541,541,541,541,10
2012/07/09,553,553,536,543,40
2012/07/10,564,568,564,568,16
2012/07/11,586,587,575,575,93
2012/07/12,580,586,580,586,18
2012/07/15,591,591,591,591,0
2012/07/17,630,677,630,677,217
2012/07/18,703,725,684,725,14
2012/07/19,720,738,720,738,53
2012/07/20,700,700,605,658,5451
2012/07/21,714,725,714,725,13
2012/07/23,650,718,641,679,2127
2012/07/24,691,700,691,700,86
2012/07/26,699,703,698,702,287
2012/07/29,703,703,703,703,4
2012/07/30,713,717,713,717,14
2012/07/31,726,727,710,710,72
2012/08/01,744,744,728,729,0
2012/08/02,737,825,737,825,13
2012/08/03,837,838,837,838,6
2012/08/04,885,898,854,854,472
2012/08/05,854,854,797,797,761
2012/08/06,870,879,869,879,1736
2012/08/08,873,889,873,889,75
2012/08/09,882,900,870,900,323
2012/08/10,896,917,891,914,4387
2012/08/13,916,953,916,935,5488
2012/08/14,950,970,950,970,2649
2012/08/15,976,1000,976,1000,2218
2012/08/16,1049,1093,1040,1093,1389
2012/08/17,1093,1201,1093,1200,1860
2012/08/18,897,976,897,976,325
2012/08/19,897,903,646,650,2031
2012/08/20,651,832,651,789,1664
2012/08/21,811,831,811,831,616
2012/08/22,795,810,775,796,1209
2012/08/23,798,808,773,783,2816
2012/08/24,814,840,802,840,2320
2012/08/25,831,849,831,849,136
2012/08/26,850,854,833,833,538
2012/08/27,853,941,853,860,2248
2012/08/28,867,884,867,884,23
2012/08/29,883,884,855,855,662
2012/08/30,880,880,843,843,715
2012/08/31,867,872,780,798,329
2012/09/01,800,800,800,800,12
2012/09/03,822,840,800,836,277
2012/09/04,832,834,789,801,293
2012/09/05,833,850,804,850,175
2012/09/06,876,876,843,860,473
2012/09/07,890,898,855,866,179
2012/09/08,877,877,876,876,7
2012/09/09,870,897,857,897,134
2012/09/10,890,898,889,890,219
2012/09/11,892,898,862,862,1558
2012/09/12,866,899,854,864,540
2012/09/14,906,923,905,923,700
2012/09/15,902,902,902,902,1
2012/09/16,901,901,894,894,1
2012/09/17,914,928,914,928,5
2012/09/18,938,960,933,960,910
2012/09/19,951,1006,951,971,302
2012/09/20,997,1007,964,970,307
2012/09/21,965,986,960,960,84
2012/09/22,970,970,966,967,5
2012/09/23,965,965,933,954,36
2012/09/24,937,986,936,936,902
2012/09/25,936,965,936,942,414
2012/09/26,935,972,933,945,98
2012/09/27,948,968,935,968,8
2012/09/28,965,985,964,964,176
2012/09/29,970,980,965,965,39
2012/09/30,964,976,960,976,35
2012/10/01,964,964,957,957,8
2012/10/02,956,996,956,983,77
2012/10/03,1009,1020,972,1004,406
2012/10/04,1014,1034,1014,1034,15
2012/10/05,1019,1021,1010,1010,37
2012/10/06,1000,1000,994,994,8
2012/10/07,993,993,918,918,13
2012/10/08,933,933,851,902,52
2012/10/09,933,978,929,929,1198
2012/10/10,950,963,939,941,736
2012/10/11,962,963,945,945,548
2012/10/12,945,950,943,943,162
2012/10/13,951,953,951,953,6
2012/10/14,953,953,943,943,31
2012/10/15,905,948,905,946,310
2012/10/16,940,963,892,952,2861
2012/10/17,952,961,948,957,343
2012/10/18,960,960,909,909,980
2012/10/19,959,965,934,934,582
2012/10/20,949,954,918,918,17
2012/10/21,939,946,929,929,20
2012/10/22,939,951,935,945,448
2012/10/23,950,965,919,919,456
2012/10/24,940,960,931,950,543
2012/10/25,948,949,863,863,1457
2012/10/26,876,900,800,800,458
2012/10/27,805,851,805,851,51
2012/10/28,858,859,858,859,1
2012/10/29,874,878,850,861,3060
2012/10/30,868,877,850,877,489
2012/10/31,879,879,879,879,82
2012/11/01,898,905,850,850,78
2012/11/02,873,878,836,836,233
2012/11/03,832,871,832,868,35
2012/11/04,869,873,845,849,124
2012/11/05,879,885,845,874,18
2012/11/06,875,893,852,893,1165
2012/11/07,891,907,870,898,591
2012/11/08,897,904,861,900,747
2012/11/09,879,892,866,878,97
2012/11/10,865,875,865,875,39
2012/11/12,865,894,865,894,852
2012/11/13,895,895,895,895,11
2012/11/14,880,896,880,880,126
2012/11/15,899,908,889,902,387
2012/11/16,907,962,894,962,122
2012/11/17,956,956,949,956,8
2012/11/18,948,954,948,954,13
2012/11/19,952,970,922,965,3939
2012/11/20,952,979,952,974,918
2012/11/21,974,983,929,974,1230
2012/11/22,975,1016,975,1016,499
2012/11/23,1025,1035,1025,1035,19
2012/11/24,1023,1031,1023,1031,13
2012/11/25,1034,1038,999,999,38
2012/11/26,1042,1067,1005,1020,3919
2012/11/27,1024,1031,1002,1002,113
2012/11/28,1018,1038,1002,1036,912
2012/11/29,1039,1052,1039,1051,126
2012/11/30,1045,1061,1045,1046,340
2012/12/01,1063,1063,1059,1059,37
2012/12/02,1054,1059,1054,1059,6
2012/12/03,1049,1064,1049,1052,114
2012/12/04,1053,1084,1053,1084,200
2012/12/05,1072,1124,1055,1124,221
2012/12/06,1112,1148,1100,1113,142
2012/12/07,1104,1121,1096,1121,8
2012/12/09,1099,1107,1099,1107,175
2012/12/10,1089,1134,1089,1134,1375
2012/12/11,1134,1137,1128,1137,410
2012/12/12,1150,1156,1130,1152,359
2012/12/13,1132,1168,1132,1163,284
2012/12/14,1162,1181,1111,1111,52
2012/12/15,1155,1163,1126,1126,15
2012/12/16,1155,1155,1127,1150,24
2012/12/17,1149,1154,1095,1147,287
2012/12/18,1148,1148,1133,1135,149
2012/12/19,1143,1151,1107,1147,316
2012/12/20,1169,1180,1130,1178,274
2012/12/21,1163,1174,1132,1165,883
2012/12/22,1122,1160,1122,1160,18
2012/12/23,1112,1145,1098,1145,53
2012/12/24,1155,1158,1155,1158,69
